"","Number","Part","Mn","Ba","Sr","Zr","Ti"
"1",1,"Neck",56.1,170.7,145.1,77.4,267.4
"2",1,"Neck",53.8,166.2,143.3,71.6,270
"3",1,"Neck",58.7,184.2,156.5,78.2,286.4
"4",1,"Neck",54.6,170.5,158.1,75.3,273.6
"5",1,"Neck",58.6,185.2,161.3,83.9,289.9
"6",1,"Body",56.8,180.5,146.7,79.2,274
"7",1,"Body",54.6,170.7,142.6,74.6,263.2
"8",1,"Body",59.2,189.6,159.9,78.9,283.6
"9",1,"Body",54.9,180,157.6,80.2,270.3
"10",1,"Body",61.1,191.6,169,90.2,304.5
"11",1,"Base",59.4,186.7,158.9,77.6,277.8
"12",1,"Base",54.9,170.3,147,70.3,260.4
"13",1,"Base",58.7,192.5,157.4,74.7,279.8
"14",1,"Base",55.3,181.5,156,72.4,271.3
"15",1,"Base",61.7,195.3,169,83.4,292.9
"16",1,"Shoulder",59.7,182.9,150.1,78.3,271.1
"17",1,"Shoulder",56.3,173.8,146.5,71.4,259
"18",1,"Shoulder",59.8,199.9,165.8,79.4,292.4
"19",1,"Shoulder",53.6,173.5,158.4,78,268.2
"20",1,"Shoulder",60.6,192.8,167.2,82.7,298.1
"21",2,"Neck",58.6,181.5,154.1,85.8,275.3
"22",2,"Neck",52.5,164.8,143.5,80,260.8
"23",2,"Neck",61.2,197.4,169,90.8,293.6
"24",2,"Neck",54,180.6,164.1,88,271.2
"25",2,"Neck",61.7,191.5,166.2,99.2,290.3
"26",2,"Body",59,182.2,166.6,85.1,306
"27",2,"Body",53.9,168.2,145.2,70.3,265.6
"28",2,"Body",61.5,190,168.6,80,300.8
"29",2,"Body",57.4,180.2,162.6,77.7,283.5
"30",2,"Body",60.5,194.3,164.6,84.8,301.9
"31",2,"Base",65.8,200.1,167.5,86.3,307
"32",2,"Base",55,163.6,140.6,70.2,255.6
"33",2,"Base",60.8,185.3,164.7,80.6,301.6
"34",2,"Base",56.4,175.4,159.9,79.9,290.2
"35",2,"Base",63.4,190.9,176.3,86.8,305
"36",2,"Shoulder",65.4,196.4,174,84.5,308.3
"37",2,"Shoulder",55.9,169.1,152.3,71.4,281.9
"38",2,"Shoulder",59.7,188.6,169.4,79.6,300.5
"39",2,"Shoulder",56.9,175.2,168.1,78.4,280.7
"40",2,"Shoulder",63.4,190.9,176.3,86.8,305
"41",3,"Neck",65.2,183.1,173.2,93.3,304.8
"42",3,"Neck",55.1,156.8,154,81.4,267.9
"43",3,"Neck",61.6,173.5,169.4,91.4,296.1
"44",3,"Neck",58.7,165.2,167.7,86.5,285.2
"45",3,"Neck",63.8,181.1,176.9,99,323.9
"46",3,"Body",64.7,181.4,173,100.9,309.5
"47",3,"Body",56.6,161.1,156.4,88,274.8
"48",3,"Body",60.9,173,169.2,95.1,299.3
"49",3,"Body",57.8,163,168.6,94.4,286.9
"50",3,"Body",63.5,180,178.7,109.4,317.8
"51",3,"Base",64.1,178.1,172.1,89.5,312.7
"52",3,"Base",57.4,155.9,153.5,79.3,276.1
"53",3,"Base",61.2,170,167,87.1,296.5
"54",3,"Base",57.4,166.1,168.5,85.3,276.4
"55",3,"Base",65,189.3,184.3,98.5,318.5
"56",3,"Shoulder",64.8,180.4,175.2,100.4,318.9
"57",3,"Shoulder",56.7,157.2,154,83.7,268
"58",3,"Shoulder",60.3,169.9,166.2,89.5,294.5
"59",3,"Shoulder",57.6,178.3,169.6,93.8,291
"60",3,"Shoulder",64.3,187.7,184.8,106.7,324.9
"61",4,"Neck",66,199.8,179.7,102.6,300.1
"62",4,"Neck",57.5,170.3,153.5,85.9,272
"63",4,"Neck",61.5,185.3,164.1,91.7,290.6
"64",4,"Neck",58,177.3,170.3,93.4,280.6
"65",4,"Neck",65.3,200.8,175.3,109.4,326.2
"66",4,"Body",67.2,198.3,173.1,111.4,313.5
"67",4,"Body",56.3,167.3,145.7,93.4,258.6
"68",4,"Body",60.3,184.6,168.6,101.1,295.9
"69",4,"Body",57.4,177.3,166.5,103.6,281.4
"70",4,"Body",66.4,200.3,177.2,118.7,309.5
"71",4,"Base",67.9,203.2,177,92.9,323.8
"72",4,"Base",55.2,164.6,146.5,77.1,268.9
"73",4,"Base",63,187.4,169.8,84.1,304.3
"74",4,"Base",58,179.2,167.2,84,290.2
"75",4,"Base",65.2,200.3,175.9,100.1,325.8
"76",4,"Shoulder",66.1,202.9,171.9,97.5,310.4
"77",4,"Shoulder",57.7,172.3,145.5,82.9,262
"78",4,"Shoulder",63.3,193.2,173.2,94.6,307.1
"79",4,"Shoulder",58.7,176.4,165.1,91.4,285.4
"80",4,"Shoulder",64,202.2,177.7,102.2,313.3
"81",5,"Neck",52.7,147.2,142.5,63.1,298.3
"82",5,"Neck",43.5,119.4,117,51.2,249.9
"83",5,"Neck",49.8,141.9,138.8,59.1,289.8
"84",5,"Neck",47,132.4,132.8,57,275.6
"85",5,"Neck",52.1,144.3,139.3,65.6,303.8
"86",5,"Body",50.2,149.9,143.3,74,298.2
"87",5,"Body",41.8,125.5,112.8,60.1,251.4
"88",5,"Body",48.6,145,138.1,70.9,296.5
"89",5,"Body",44.9,136.1,133.7,68.8,277.1
"90",5,"Body",51.1,150.7,140.2,79.8,312.5
"91",5,"Base",50.8,145.1,136.4,56.6,294.9
"92",5,"Base",45.2,125.9,118.8,50,252.2
"93",5,"Base",49,141.4,136,58.3,289.2
"94",5,"Base",44.6,130,131.1,56.2,267.4
"95",5,"Base",50.9,149.3,147.3,69.5,319.1
"96",5,"Shoulder",52.3,141,138.8,67.3,305.4
"97",5,"Shoulder",43.3,120.2,112.4,55.6,256
"98",5,"Shoulder",48.8,145.8,138.8,64.2,302.1
"99",5,"Shoulder",45.5,133.2,133.9,63.9,280.5
"100",5,"Shoulder",52,150.3,146.1,75.4,326.4
"101",6,"Neck",65.1,209.6,175.5,101.5,327.9
"102",6,"Neck",57.4,177.9,155.1,84,277.8
"103",6,"Neck",64.5,202.8,172.5,96.5,325.5
"104",6,"Neck",59.3,181.8,165.6,91,290.1
"105",6,"Neck",66.5,209.8,179,109.6,345.5
"106",6,"Body",66.6,194.9,172.3,81.4,310.1
"107",6,"Body",56.8,167,149.8,70.6,263.7
"108",6,"Body",62.6,193.9,170.2,81.1,313.6
"109",6,"Body",59,179.3,166.5,79.7,280.3
"110",6,"Body",67.8,204.3,182.2,91,312.7
"111",6,"Base",65.7,202.3,172.3,116.6,313
"112",6,"Base",56.6,166.1,144.5,94.2,261.9
"113",6,"Base",62.4,194.4,174.3,109.8,314.3
"114",6,"Base",57.9,185,164.1,108.5,287.9
"115",6,"Base",67.2,208.9,180.2,125.7,326.1
"116",6,"Shoulder",64.9,197.8,172.1,81.5,304.2
"117",6,"Shoulder",52.4,158.9,137.1,67.8,254.6
"118",6,"Shoulder",61.9,189.8,165.4,80.8,302.1
"119",6,"Shoulder",57.8,174.9,160.4,77.9,278.2
"120",6,"Shoulder",63.9,198.2,176.4,90.9,309.5
